7,23,1,33,34
57,6,59,66,56
7,23,13,11,34
5,6,12,17,10
7,33,23,39,11
17,6,10,61,81
57,1,25,85,67
57,6,5,77,30
0,19,13,10,22
19,15,48,63,52
0,57,13,17,76
7,6,27,41,1
51,49,20,11,4
0,21,54,8,14
33,19,17,23,56
0,21,68,8,63
19,25,50,56,34
33,6,19,48,15
51,5,27,17,63
7,33,6,11,17
23,18,47,25,48
25,76,1,5,27
0,37,17,8,68
6,48,13,37,30
0,19,25,21,94
6,21,16,17,2
7,1,25,39,35
0,25,47,22,2
57,5,21,23,12
57,62,33,9,30
5,1,48,23,51
7,5,25,68,55
19,6,17,16,62
19,23,27,65,6
33,5,17,74,12
7,1,27,25,19
57,5,15,18,33
25,8,63,23,11
7,6,0,33,17
19,13,12,58,48
6,1,33,54,64
19,6,16,61,22
17,0,10,5,35
0,7,48,12,63
6,19,35,17,33
0,20,35,4,34
7,1,31,72,25
0,21,68,22,47
33,23,11,34,45
21,0,27,48,54
6,17,37,34,80
19,23,48,0,15
6,25,10,51,3
33,51,1,17,3
19,25,11,21,22
40,5,11,25,39
0,21,15,95,10
33,6,19,22,61
57,9,11,2,39
7,33,1,20,41
0,15,5,54,21
57,6,8,27,103
0,25,9,17,22
48,13,12,63,14
7,33,21,0,41
6,13,65,17,91
21,0,25,22,54
21,2,5,12,30
33,0,23,48,10
51,49,7,6,62
33,40,23,4,22
6,7,9,86,21
33,19,1,25,50
6,48,5,16,39
1,19,25,12,17
57,6,8,62,25
7,9,31,12,45
19,6,33,11,50
0,25,48,23,44
57,23,15,11,17
7,1,25,48,27
48,16,4,13,47
7,33,6,22,0
66,11,8,2,17
33,0,16,48,43
57,23,68,82,83
33,6,4,86,11
57,33,68,1,59
6,0,10,73,41
19,21,12,25,10
48,33,0,15,17
7,6,48,13,23
19,25,0,20,50
6,5,13,48,39
0,11,54,25,3
5,9,25,17,49
40,79,63,27,98
31,66,12,4,22
33,1,17,8,2
66,12,2,8,47
33,48,54,77,16
57,25,6,59,60
0,5,13,39,28
57,16,17,96,11
5,25,23,48,27
5,31,42,0,97
33,6,19,23,8
40,0,54,79,48
100,1,19,2,34
37,66,72,62,13
40,6,4,3,51
25,48,13,63,77
7,12,16,30,17
0,17,33,1,50
48,9,6,86,4
5,13,6,11,54
57,9,38,59,17
57,5,35,31,55
0,73,16,53,63
0,68,10,72,79
7,5,25,27,12
33,57,11,48,9
19,6,25,58,22
73,25,76,17,15
33,0,37,8,54
33,1,37,63,22
57,19,25,68,82
51,5,19,56,13
33,11,54,37,41
73,40,7,23,39
57,5,2,21,68
57,73,18,79,8
31,61,66,50,7
57,13,33,48,0
31,1,25,65,41
21,2,48,12,20
6,31,17,11,49
57,51,6,27,53
40,25,17,16,22
6,5,9,17,30
40,13,12,54,48
23,5,16,0,97
33,12,15,63,21
57,1,27,59,25
12,5,37,48,63
57,40,16,51,34
1,37,8,35,39
51,49,33,39,62
6,7,15,43,75
51,49,5,13,86
57,6,16,96,69
66,51,49,30,13
33,5,16,47,12
7,6,11,30,12
19,13,1,25,41
7,6,2,22,104
57,9,47,56,48
0,25,7,13,81
21,37,48,97,6
0,40,47,69,65
19,6,10,31,72
19,6,87,53,82
21,48,10,23,12
57,9,25,12,53
33,40,48,63,8
51,49,13,17,69
33,16,48,19,5
57,1,9,4,58
7,6,33,11,59
40,16,95,1,4
57,6,15,62,65
0,1,95,25,10
6,5,76,15,60
40,5,60,8,62
72,17,1,16,35
19,16,25,6,91
5,1,51,39,15
1,17,51,49,15
19,13,33,59,56
7,33,13,22,47
57,6,12,5,20
11,0,33,86,4
51,49,12,6,47
7,33,2,22,56
57,5,13,1,38
5,40,66,54,30
33,48,16,63,59
57,5,1,66,16
40,33,12,19,76
0,4,1,25,95
5,33,23,17,78
15,66,17,0,4
7,6,13,22,2
51,33,19,59,12
6,37,11,17,92
0,51,17,48,89
19,6,12,27,18
0,11,30,86,20
19,6,33,5,1
57,63,33,62,81
5,40,72,60,11
19,1,25,17,35
7,65,6,27,30
0,25,51,63,3
57,6,65,33,56
0,21,5,47,60
57,16,76,11,17
2,19,13,11,22
1,25,23,3,44
21,2,11,10,48
0,27,6,22,63
0,13,2,47,22
19,57,76,3,66
57,0,65,9,23
7,13,10,21,55
7,33,11,35,45
6,19,27,8,58
0,31,76,53,82
6,25,65,17,23
7,1,31,72,2
57,9,76,54,69
0,48,25,17,28
7,1,40,15,39
5,25,39,18,60
7,19,2,56,6
5,1,42,13,76
73,7,31,55,65
40,13,7,19,10
12,57,65,80,31
76,51,15,11,8
7,6,21,25,53
51,49,47,27,56
7,1,33,31,53
19,13,33,14,0
1,16,17,48,56
19,6,82,68,14
7,20,43,69,36
7,6,13,82,45
25,8,97,96,35
40,12,47,15,59
19,1,16,23,10
5,51,17,20,56
1,13,4,86,25
33,57,12,76,35
19,6,5,0,68
73,33,6,17,81
57,19,0,13,21
7,13,37,6,81
33,1,15,8,19
65,1,51,27,105
0,25,17,69,8
76,25,1,5,60
19,13,11,21,78
57,19,9,54,58
35,37,56,66,102
76,25,12,17,23
19,13,37,6,14
51,11,63,48,79
7,8,13,62,23
0,21,27,44,76
7,6,33,62,17
7,13,31,72,12
19,23,5,27,40
19,25,11,71,17
0,31,33,47,34
48,1,25,22,54
57,5,66,19,47
40,8,12,16,17
1,19,21,65,60
7,0,6,15,48
33,27,11,54,22
0,33,11,86,4
6,51,68,59,43
57,13,76,74,46
6,33,54,12,22
57,13,82,0,14
7,25,19,9,59
5,13,37,1,10
19,6,25,82,62
19,6,31,72,54
57,9,81,33,35
19,33,82,68,56
5,6,9,54,35
5,13,76,33,82
40,54,11,8,27
57,13,31,65,11
5,100,15,29,10
5,13,50,12,4
7,6,33,19,86
31,11,13,76,14
40,33,95,39,38
57,6,11,9,65
7,13,5,61,42
57,9,76,96,31
6,19,51,5,35
0,2,8,30,40
57,1,27,3,23
76,51,17,42,49
0,21,65,10,33
57,5,13,37,12
51,1,68,17,85
51,68,19,86,11
57,76,16,1,69
15,5,6,13,19
57,38,68,21,84
57,6,13,37,95
5,15,19,16,56
5,13,82,0,10
40,73,19,15,97
7,6,66,81,62
19,68,38,71,8
5,57,33,6,42
51,38,68,47,50
7,13,91,57,21
0,47,16,72,83
7,8,16,62,42
57,12,13,15,47
40,13,57,47,48
5,0,16,76,60
7,13,37,77,30
19,25,16,72,80
76,66,1,57,10
5,37,65,12,6
51,76,12,10,49
5,37,1,34,33
57,13,95,71,11
